type, fn, sample
pn, primary_noisy_target_p232_rir0_H1y0j2_pdPM_snr22_tl-30_fileid_2135, 1
pn, primary_noisy_target_p256_rir0_ydcbl5FeuBM_snr0_tl-23_fileid_325, 5
pn,primary_noisy_target_p276_rir0_Djp17Fo97kw_snr3_tl-34_fileid_470, 4
pn, primary_noisy_target_p287_rir0_door_Freesound_validated_191819_1_snr6_tl-34_fileid_2532, 3
pn, primary_noisy_target_p306_rir0_UtR3Wm6KFTI_snr7_tl-21_fileid_1087, 2
ps, ps_noisy_target_p249_rir0__interf_p292_sir-1_tl-18_fileid_990, 1
ps, ps_noisy_target_p255_rir0__interf_p308_sir12_tl-30_fileid_1035, 2
ps, ps_noisy_target_p255_rir0__interf_p374_sir6_tl-27_fileid_1038, 3
ps, ps_noisy_target_p266_rir0__interf_p246_sir1_tl-32_fileid_2843, 4
ps, ps_noisy_target_p304_rir1__interf_p276_sir5_tl-25_fileid_354, 5
psn, psn_noisy_target_p229_rir1__interf_p361_sir17_sN8LhPldZlU_snr10_tl-21_fileid_1169, 1
psn, psn_noisy_target_p248_rir0__interf_p293_sir1_aes7jmC_cCI_snr15_tl-24_fileid_744, 2
psn, psn_noisy_target_p258_rir0__interf_p237_sir18_door_Freesound_validated_400711_3_snr-2_tl-27_fileid_229, 3
psn, psn_noisy_target_p268_rir0__interf_p265_sir4_UZqMaHTN6SE_snr7_tl-16_fileid_1030, 4
psn, psn_noisy_target_p303_rir0__interf_p261_sir0_UBZTDuCH3nQ_snr29_tl-17_fileid_2688, 5
